ID,cem301_attendees_total,cem011_prgrm,month,year,cem009_country
,38,Mfw1,1,2014,2
,54,Mfw1,1,2014,2
,41,Mfw1,1,2014,2
,79,Mfw1,1,2014,2
,42,Mfw1,1,2014,2
,35,Mfw1,1,2014,2
,84,Mfw1,1,2014,2
,40,Mfw1,1,2014,2
,41,Mfw1,1,2014,2
,60,Mfw1,1,2014,2
,45,Mfw1,1,2014,2
,49,Mfw1,1,2014,2
,48,Mfw1,1,2014,2
,71,Mfw1,1,2014,2
,90,Mfw1,1,2014,2
,62,Mfw1,1,2014,2
,66,Mfw1,1,2014,2
,75,Mfw1,1,2014,2
,80,Mfw1,1,2014,2
,49,Mfw1,1,2014,2
,73,Mfw1,1,2014,2
,22,Mfw1,1,2014,2
,80,Mfw1,1,2014,2
,58,Mfw1,1,2014,2
,52,Mfw1,1,2014,2
